p.value	ID	category.name
2.28322650716234e-41	CL:0000738	leukocyte
4.55108433446762e-37	CL:0000766	myeloid leukocyte
3.50219483936774e-35	UBERON:0004121	ectoderm-derived structure
1.95417772493777e-33	CL:0000988	hematopoietic cell
2.3390318018104e-32	CL:0002087	nongranular leukocyte
1.93160065239972e-31	CL:0000219	motile cell
3.03135546990965e-30	UBERON:0007023	adult organism
3.27226449579817e-29	FF:0000004	tissue sample
3.59810647885997e-29	CL:0000576	monocyte
3.86083446428907e-29	FF:0000998	adult tissue sample
6.36022538341014e-29	CL:0000860	classical monocyte
6.36022538341014e-29	CL:0002057	CD14-positive, CD16-negative classical monocyte
4.56892444804885e-28	CL:0000763	myeloid cell
1.74406113071791e-26	UBERON:0000468	multi-cellular organism
3.41360966579199e-25	CL:0000012	cell by class
3.41360966579199e-25	EFO:0000324	cell type
3.41360966579199e-25	snap:MaterialEntity	material entity
8.37943274370987e-25	CL:0000004	cell by organism
8.37943274370987e-25	CL:0000255	eukaryotic cell
8.37943274370987e-25	CL:0000548	animal cell
4.08336245175053e-23	CL:0000144	cell by function
4.58114071931591e-22	UBERON:0000061	anatomical structure
4.58114071931591e-22	UBERON:0000465	material anatomical entity
5.71994267258014e-22	CL:0002371	somatic cell
5.71994267258014e-22	UBERON:0001062	anatomical entity
1.25452379446181e-20	FF:0000625	experimental infection
1.13319529639115e-18	CL:0000000	cell
2.82067301926383e-18	CL:0000003	native cell
9.21586944401341e-18	UBERON:0000073	regional part of nervous system
3.65834522300099e-17	CL:0000542	lymphocyte
1.10416127211822e-16	CL:0002139	endothelial cell of vascular tree
1.10416127211822e-16	FF:0000046	endothelial cell
1.88221240032593e-16	EFO:0000727	treatment
1.88221240032593e-16	EFO:0002694	experimental process
1.88221240032593e-16	span:ProcessualEntity	process
2.35127244438524e-16	UBERON:0002616	regional part of brain
7.9867770495821e-16	EFO:0001426	study design
7.9867770495821e-16	EFO:0001746	development or differentiation design
7.9867770495821e-16	IAO:0000030	information entity
7.9867770495821e-16	OBI:0000272	protocol
1.00967944838332e-15	FF:0000002	in vivo cell sample
1.40396606142821e-15	CL:0000115	endothelial cell
1.40396606142821e-15	CL:0000213	lining cell
1.40396606142821e-15	CL:0000215	barrier cell
1.13144316740109e-14	CL:0002078	meso-epithelial cell
1.67941897415808e-14	FF:0000350	experimentally modified sample
1.8540969546606e-14	CL:0000063	cell by histology
1.77350081039386e-13	FF:0000003	cell line sample
1.37972297471143e-12	UBERON:0000064	organ part
2.13588956478546e-12	CL:0000071	blood vessel endothelial cell
2.13588956478546e-12	CL:0000076	squamous epithelial cell
3.82994283062089e-12	DOID:305	carcinoma
3.82994283062089e-12	FF:0100297	carcinoma cell line
5.03085362540562e-12	CL:0000147	pigment cell
5.03085362540562e-12	CL:0000148	melanocyte
8.12099901466803e-12	FF:0101120	epithelial cell line
1.49689146037164e-11	CL:0000066	epithelial cell
2.22633478765175e-11	CL:0002320	connective tissue cell
4.02468290032449e-11	CL:0000075	columnar/cuboidal epithelial cell
4.02468290032449e-11	CL:0000710	neurecto-epithelial cell
4.17315813450793e-11	DOID:4	disease
1.20433527048082e-10	UBERON:0002780	regional part of forebrain
