CL:0000000	cell
CL:0000001	primary cell culture cell
CL:0000003	native cell
CL:0000004	cell by organism
CL:0000006	neuronal receptor cell (sensu Animalia)
CL:0000010	obsolete_cell line cell
CL:0000012	cell by class
CL:0000034	stem cell
CL:0000035	single fate stem cell
CL:0000037	hematopoietic stem cell
CL:0000039	germ line cell
CL:0000047	neuronal stem cell
CL:0000048	multipotent stem cell
CL:0000049	common myeloid progenitor
CL:0000054	bone matrix secreting cell
CL:0000055	non-terminally differentiated cell
CL:0000056	myoblast
CL:0000057	fibroblast
CL:0000062	osteoblast
CL:0000063	cell by histology
CL:0000064	ciliated cell
CL:0000066	epithelial cell
CL:0000067	ciliated epithelial cell
CL:0000068	duct epithelial cell
CL:0000069	branched duct epithelial cell
CL:0000071	blood vessel endothelial cell
CL:0000075	columnar/cuboidal epithelial cell
CL:0000076	squamous epithelial cell
CL:0000077	mesothelial cell
CL:0000079	stratified epithelial cell
CL:0000080	circulating cell
CL:0000081	blood cell
CL:0000082	epithelial cell of lung
CL:0000083	exocrine pancreas cell
CL:0000084	T cell
CL:0000091	Kupffer cell
CL:0000092	osteoclast
CL:0000094	granulocyte
CL:0000095	neuron associated cell
CL:0000097	mast cell
CL:0000098	sensory epithelial cell
CL:0000107	autonomic neuron
CL:0000115	endothelial cell
CL:0000117	CNS neuron (sensu Vertebrata)
CL:0000120	granule cell
CL:0000123	neuron associated cell (sensu Vertebrata)
CL:0000125	glial cell
CL:0000126	macroglial cell
CL:0000127	astrocyte
CL:0000128	oligodendrocyte
CL:0000129	microglial cell
CL:0000134	mesenchymal cell
CL:0000135	fibrocyte
CL:0000136	fat cell
CL:0000137	osteocyte
CL:0000138	chondrocyte
CL:0000144	cell by function
CL:0000147	pigment cell
CL:0000148	melanocyte
CL:0000149	visual pigment cell
CL:0000150	glandular epithelial cell
CL:0000151	secretory cell
CL:0000153	GAG secreting cell
CL:0000154	protein secreting cell
CL:0000159	seromucus secreting cell
CL:0000163	endocrine cell
CL:0000164	enteroendocrine cell
CL:0000165	neuroendocrine cell
CL:0000166	chromaffin cell
CL:0000167	peptide hormone secreting cell
CL:0000172	somatostatin secreting cell
CL:0000173	pancreatic D cell
CL:0000174	steroid hormone secreting cell
CL:0000181	metabolising cell
CL:0000182	hepatocyte
CL:0000183	contractile cell
CL:0000186	myofibroblast cell
CL:0000187	muscle cell
CL:0000188	skeletal muscle cell
CL:0000192	smooth muscle cell
CL:0000197	receptor cell
CL:0000199	mechanoreceptor cell
CL:0000202	cochlear hair cell
CL:0000211	electrically active cell
CL:0000212	absorptive cell
CL:0000213	lining cell
CL:0000214	synovial cell
CL:0000215	barrier cell
CL:0000216	Sertoli cell
CL:0000217	insulating cell
CL:0000218	Schwann cell
CL:0000219	motile cell
CL:0000220	cell by lineage
CL:0000222	mesodermal cell
CL:0000224	cell by nuclear number
CL:0000228	multinucleate cell
CL:0000235	macrophage
CL:0000236	B cell
CL:0000237	keratinizing barrier epithelial cell
CL:0000239	brush border epithelial cell
CL:0000240	stratified squamous epithelial cell
CL:0000242	Merkel cell
CL:0000243	glial cell (sensu Vertebrata)
CL:0000244	transitional epithelial cell
CL:0000255	eukaryotic cell
CL:0000306	crystallin accumulating cell
CL:0000307	tracheal epithelial cell
CL:0000311	keratin accumulating cell
CL:0000312	keratinocyte
CL:0000313	serous secreting cell
CL:0000317	sebum secreting cell
CL:0000319	mucus secreting cell
CL:0000322	pneumocyte
CL:0000325	stuff accumulating cell
CL:0000327	extracellular matrix secreting cell
CL:0000328	myelin accumulating cell
CL:0000333	neural crest cell
CL:0000342	pigment cell (sensu Vertebrata)
CL:0000346	hair follicle dermal papilla cell
CL:0000349	extraembryonic cell
CL:0000351	trophoblast cell
CL:0000355	muscle stem cell
CL:0000359	vascular associated smooth muscle cell
CL:0000362	epidermal cell
CL:0000386	attachment cell
CL:0000388	tendon cell
CL:0000393	electrically responsive cell
CL:0000404	electrically signaling cell
CL:0000412	polyploid cell
CL:0000414	cell by ploidy
CL:0000417	endopolyploid cell
CL:0000447	carbohydrate secreting cell
CL:0000451	dendritic cell
CL:0000453	Langerhans cell
CL:0000457	biogenic amine secreting cell
CL:0000473	defensive cell
CL:0000499	stromal cell
CL:0000501	granulosa cell
CL:0000502	type D enteroendocrine cell
CL:0000511	androgen binding protein secreting cell
CL:0000515	skeletal muscle myoblast
CL:0000540	neuron
CL:0000542	lymphocyte
CL:0000548	animal cell
CL:0000556	megakaryocyte
CL:0000557	granulocyte monocyte progenitor cell
CL:0000558	reticulocyte
CL:0000566	angioblastic mesenchymal cell
CL:0000568	APUD cell
CL:0000569	cardiac mesenchymal cell
CL:0000575	corneal epithelial cell
CL:0000576	monocyte
CL:0000578	experimentally modified cell in vitro
CL:0000584	enterocyte
CL:0000586	germ cell
CL:0000589	cochlear inner hair cell
CL:0000594	skeletal muscle satellite cell
CL:0000622	acinar cell
CL:0000623	natural killer cell
CL:0000624	CD4-positive, alpha-beta T cell
CL:0000625	CD8-positive, alpha-beta T cell
CL:0000627	transporting cell
CL:0000630	supportive cell
CL:0000632	hepatic stellate cell
CL:0000637	chromophil cell of anterior pituitary gland
CL:0000650	mesangial cell
CL:0000666	fenestrated cell
CL:0000667	collagen secreting cell
CL:0000668	parenchymal cell
CL:0000669	pericyte cell
CL:0000677	gut absorptive cell
CL:0000680	muscle precursor cell
CL:0000682	M cell
CL:0000692	terminal Schwann cell
CL:0000708	leptomeningeal cell
CL:0000710	neurecto-epithelial cell
CL:0000723	somatic stem cell
CL:0000731	urothelial cell
CL:0000737	striated muscle cell
CL:0000738	leukocyte
CL:0000746	cardiac myocyte
CL:0000763	myeloid cell
CL:0000764	erythroid lineage cell
CL:0000765	erythroblast
CL:0000766	myeloid leukocyte
CL:0000767	basophil
CL:0000771	eosinophil
CL:0000775	neutrophil
CL:0000784	plasmacytoid dendritic cell
CL:0000785	mature B cell
CL:0000786	plasma cell
CL:0000789	alpha-beta T cell
CL:0000791	mature alpha-beta T cell
CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell
CL:0000798	gamma-delta T cell
CL:0000814	mature NK T cell
CL:0000815	regulatory T cell
CL:0000817	precursor B cell
CL:0000819	B-1 B cell
CL:0000836	promyelocyte
CL:0000837	hematopoietic multipotent progenitor cell
CL:0000839	myeloid lineage restricted progenitor cell
CL:0000840	immature conventional dendritic cell
CL:0000842	mononuclear cell
CL:0000855	sensory hair cell
CL:0000860	classical monocyte
CL:0000864	tissue-resident macrophage
CL:0000875	non-classical monocyte
CL:0000878	central nervous system macrophage
CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell
CL:0000898	naive T cell
CL:0000911	effector T cell
CL:0000945	lymphocyte of B lineage
CL:0000946	antibody secreting cell
CL:0000988	hematopoietic cell
CL:0000990	conventional dendritic cell
CL:0001014	CD1a-positive Langerhans cell
CL:0001016	immature CD1a-positive Langerhans cell
CL:0001024	CD34-positive, CD38-negative hematopoietic stem cell
CL:0001031	cerebellar granule cell
CL:0001034	cell in vitro
CL:0002027	CD9-positive, CD41-positive megakaryocyte cell
CL:0002031	hematopoietic lineage restricted progenitor cell
CL:0002032	hematopoietic oligopotent progenitor cell
CL:0002057	CD14-positive, CD16-negative classical monocyte
CL:0002076	endo-epithelial cell
CL:0002077	ecto-epithelial cell
CL:0002078	meso-epithelial cell
CL:0002087	nongranular leukocyte
CL:0002092	bone marrow cell
CL:0002097	cortical cell of adrenal gland
CL:0002127	innate effector T cell
CL:0002138	endothelial cell of lymphatic vessel
CL:0002139	endothelial cell of vascular tree
CL:0002140	acinar cell of sebaceous gland
CL:0002144	capillary endothelial cell
CL:0002149	epithelial cell of uterus
CL:0002150	epitheloid cell
CL:0002159	general ecto-epithelial cell
CL:0002166	epithelial cell of Malassez
CL:0002167	olfactory epithelial cell
CL:0002170	keratinized cell of the oral mucosa
CL:0002173	extraglomerular mesangial cell
CL:0002174	follicular cell of ovary
CL:0002178	epithelial cell of stomach
CL:0002188	glomerular endothelial cell
CL:0002191	granulocytopoietic cell
CL:0002193	myelocyte
CL:0002195	hepatic stem cell
CL:0002202	epithelial cell of tracheobronchial tree
CL:0002222	vertebrate lens cell
CL:0002224	lens epithelial cell
CL:0002231	epithelial cell of prostate
CL:0002242	nucleate cell
CL:0002250	intestinal crypt stem cell
CL:0002251	epithelial cell of alimentary canal
CL:0002252	epithelial cell of esophagus
CL:0002253	epithelial cell of large intestine
CL:0002255	stromal cell of endometrium
CL:0002261	endothelial cell of viscerocranial mucosa
CL:0002262	endothelial cell of sinusoid
CL:0002274	histamine secreting cell
CL:0002280	type N enteroendocrine cell
CL:0002293	epithelial cell of thymus
CL:0002304	non-pigmented ciliary epithelial cell
CL:0002306	epithelial cell of proximal tubule
CL:0002308	epithelial cell of skin gland
CL:0002315	supporting cell of cochlea
CL:0002319	neural cell
CL:0002320	connective tissue cell
CL:0002321	embryonic cell
CL:0002322	embryonic stem cell
CL:0002327	mammary epithelial cell
CL:0002328	bronchial epithelial cell
CL:0002334	preadipocyte
CL:0002336	buccal mucosa cell
CL:0002363	keratocyte
CL:0002367	trabecular meshwork cell
CL:0002368	respiratory epithelial cell
CL:0002371	somatic cell
CL:0002372	myotube
CL:0002374	ear hair cell
CL:0002376	non-myelinating Schwann cell
CL:0002377	immature Schwann cell
CL:0002379	meningothelial cell
CL:0002393	intermediate monocyte
CL:0002396	CD14-low, CD16-positive monocyte
CL:0002397	CD14-positive, CD16-positive monocyte
CL:0002419	mature T cell
CL:0002453	oligodendrocyte precursor cell
CL:0002490	organ of Corti supporting cell
CL:0002491	auditory epithelial cell
CL:0002494	cardiocyte
CL:0002504	enteric smooth muscle cell
CL:0002518	kidney epithelial cell
CL:0002521	subcutaneous fat cell
CL:0002535	epithelial cell of cervix
CL:0002536	amniotic epithelial cell
CL:0002537	amnion mesenchymal stem cell
CL:0002538	intrahepatic bile duct epithelial cell
CL:0002539	aortic smooth muscle cell
CL:0002540	mesenchymal stem cell of the bone marrow
CL:0002541	chorionic membrane mesenchymal stem cell
CL:0002543	vein endothelial cell
CL:0002544	aortic endothelial cell
CL:0002545	thoracic aorta endothelial cell
CL:0002547	fibroblast of the aortic adventitia
CL:0002548	cardiac fibroblast
CL:0002549	fibroblast of choroid plexus
CL:0002550	fibroblast of the conjuctiva
CL:0002551	fibroblast of dermis
CL:0002552	fibroblast of gingiva
CL:0002553	fibroblast of lung
CL:0002554	fibroblast of lymphatic vessel
CL:0002555	fibroblast of mammary gland
CL:0002556	fibroblast of periodontium
CL:0002557	fibroblast of pulmonary artery
CL:0002558	fibroblast of villous mesenchymal
CL:0002559	hair follicle cell
CL:0002560	inner root sheath cell
CL:0002561	outer root sheath cell
CL:0002562	hair germinal matrix cell
CL:0002563	intestinal epithelial cell
CL:0002564	nucleus pulposus cell of intervertebral disc
CL:0002565	iris pigment epithelial cell
CL:0002566	dark melanocyte
CL:0002567	light melanocyte
CL:0002568	mesenchymal stem cell of Wharton's jelly
CL:0002569	mesenchymal stem cell of umbilical cord
CL:0002570	mesenchymal stem cell of adipose
CL:0002571	hepatic mesenchymal stem cell
CL:0002572	vertebral mesenchymal stem cell
CL:0002573	Schwann cell
CL:0002574	stromal cell of pancreas
CL:0002575	central nervous system pericyte
CL:0002576	perineural cell
CL:0002577	placental epithelial cell
CL:0002579	omentum preadipocyte
CL:0002580	preadipocyte of the breast
CL:0002581	perirenal preadipocyte
CL:0002582	visceral preadipocyte
CL:0002583	subcutaneous preadipocyte
CL:0002584	renal cortical epithelial cell
CL:0002586	retinal pigment epithelial cell
CL:0002588	smooth muscle cell of the umbilical vein
CL:0002589	smooth muscle cell of the brachiocephalic vasculature
CL:0002590	smooth muscle cell of the brain vasculature
CL:0002591	smooth muscle cell of the pulmonary artery
CL:0002592	smooth muscle cell of the coronary artery
CL:0002593	smooth muscle cell of the internal thoracic artery
CL:0002594	smooth muscle cell of the umbilical artery
CL:0002595	smooth muscle cell of the subclavian artery
CL:0002596	smooth muscle cell of the carotid artery
CL:0002597	smooth muscle cell of bladder
CL:0002598	bronchial smooth muscle cell
CL:0002599	smooth muscle cell of the esophagus
CL:0002600	smooth muscle cell of trachea
CL:0002601	uterine smooth muscle cell
CL:0002602	annulus pulposus cell
CL:0002603	astrocyte of the cerebellum
CL:0002604	astrocyte of the hippocampus
CL:0002605	astrocyte of the cerebral cortex
CL:0002608	hippocampal neuron
CL:0002609	neuron of cerebral cortex
CL:0002610	raphe nuclei neuron
CL:0002611	neuron of the dorsal spinal cord
CL:0002612	neuron of the ventral spinal cord
CL:0002613	striatum neuron
CL:0002614	neuron of the substantia nigra
CL:0002615	adipocyte of omentum tissue
CL:0002616	perirenal adipocyte cell
CL:0002617	adipocyte of breast
CL:0002618	endothelial cell of umbilical vein
CL:0002619	adult endothelial progenitor cell
CL:0002620	skin fibroblast
CL:0002621	gingival epithelial cell
CL:0002622	prostate stromal cell
CL:0002623	acinar cell of salivary gland
CL:0002625	seminiferous tubule epithelial cell
CL:0002632	epithelial cell of lower respiratory tract
CL:0002677	naive regulatory T cell
CL:0002679	natural helper lymphocyte
CL:0002681	kidney cortical cell
CL:0005012	multi-ciliated epithelial cell
CL:0005014	auditory epithelial support cell
CL:1000279	smooth muscle cell of large intestine
CL:1000280	smooth muscle cell of colon
CL:1000306	fibroblast of tunica adventitia of artery
CL:1000398	endothelial cell of hepatic sinusoid
CL:1000413	endothelial cell of artery
CL:1000415	epithelial cell of gall bladder
CL:1000428	stem cell of epidermis
CL:1000448	epithelial cell of sweat gland
CL:1000449	epithelial cell of nephron
CL:1000487	smooth muscle cell of prostate
CL:1000494	epithelial cell of renal tubule
CL:1000497	kidney cell
CL:1000500	kidney interstitial cell
CL:1000507	kidney tubule cell
CL:1000600	lower urinary tract cell
CL:1000612	kidney corpuscule cell
CL:1000615	kidney cortex tubule cell
CL:1000618	juxtaglomerular complex cell
CL:1000746	glomerular cell
CL:1001318	renal interstitial pericyte
CL:1001319	bladder cell
DOID:0014667	disease of metabolism
DOID:0050155	sensory system disease
DOID:0050177	monogenic disease
DOID:0050427	xeroderma pigmentosum
DOID:0050615	respiratory system cancer
DOID:0050619	paranasal sinus cancer
DOID:0050686	organ system cancer
DOID:0050687	cell type cancer
DOID:0060058	lymphoma
DOID:0060060	non-Hodgkin lymphoma
DOID:0060061	cutaneous T cell lymphoma
DOID:0060072	benign neoplasm
DOID:0060073	lymphatic system cancer
DOID:0060083	immune system cancer
DOID:0060084	cell type benign neoplasm
DOID:0060085	organ system benign neoplasm
DOID:0060100	musculoskeletal system cancer
DOID:0060116	sensory system cancer
DOID:0060121	integumentary system benign neoplasm
DOID:0060122	integumentary system cancer
DOID:0060158	acquired metabolic disease
DOID:0070004	myeloma
DOID:0080000	muscular disease
DOID:0080014	chromosomal disease
DOID:10165	endocrine pancreas cancer
DOID:1036	chronic leukemia
DOID:1037	lymphoblastic leukemia
DOID:1040	chronic lymphocytic leukemia
DOID:10747	lymphoid leukemia
DOID:1091	tooth disease
DOID:1115	sarcoma
DOID:114	heart disease
DOID:11722	myotonic dystrophy
DOID:1192	peripheral nervous system neoplasm
DOID:11983	Prader-Willi syndrome
DOID:120	female reproductve organ cancer
DOID:1240	leukemia
DOID:1242	globe disease
DOID:12603	acute leukemia
DOID:127	leiomyoma
DOID:1287	cardiovascular system disease
DOID:1324	lung cancer
DOID:1325	bronchus cancer
DOID:13359	Ehlers-Danlos syndrome
DOID:1357	maxillary sinus cancer
DOID:139	squamous cell papilloma
DOID:14250	Down syndrome
DOID:1443	cerebral degeneration
DOID:14447	gonadal dysgenesis
DOID:14566	disease of cellular proliferation
DOID:1485	cystic fibrosis
DOID:1492	eye and adnexa disease
DOID:154	mixed cell type cancer
DOID:1612	breast cancer
DOID:162	cancer
DOID:169	neuroendocrine tumor
DOID:17	musculoskeletal system disease
DOID:170	endocrine gland cancer
DOID:171	neuroectodermal tumor
DOID:1749	squamous cell carcinoma
DOID:178	vascular disease
DOID:1781	thyroid cancer
DOID:1793	pancreatic cancer
DOID:1798	pancreatic endocrine carcinoma
DOID:1799	islet cell tumor
DOID:1907	malignant fibroxanthoma
DOID:1909	melanoma
DOID:1927	sphingolipidosis
DOID:193	reproductive organ cancer
DOID:1967	leiomyosarcoma
DOID:200	giant cell tumor
DOID:201	connective tissue cancer
DOID:2152	ovary epithelial cancer
DOID:2174	ocular cancer
DOID:225	syndrome
DOID:2355	anemia
DOID:2368	gangliosidosis
DOID:2394	ovarian cancer
DOID:2438	dermis tumor
DOID:2513	basal cell carcinoma
DOID:2531	hematologic cancer
DOID:255	hemangioma
DOID:2615	papilloma
DOID:2621	autonomic nervous system neoplasm
DOID:263	kidney cancer
DOID:2670	transitional papilloma
DOID:2671	transitional cell carcinoma
DOID:285	hairy cell leukemia
DOID:2962	Cockayne syndrome
DOID:299	adenocarcinoma
DOID:2994	germ cell cancer
DOID:3001	female reproductive endometrioid cancer
DOID:3030	mucinous adenocarcinoma
DOID:305	carcinoma
DOID:3070	malignant glioma
DOID:3093	nervous system cancer
DOID:3095	germ cell and embryonal cancer
DOID:3111	cystadenocarcinoma
DOID:3112	papillary adenocarcinoma
DOID:3118	hepatobiliary disease
DOID:3119	gastrointestinal system cancer
DOID:3149	keratoacanthoma
DOID:3151	skin squamous cell carcinoma
DOID:3165	skin benign  neoplasm
