ID	category.name	HPASp-value	Exprp-value
CL:0000000	cell	1.13319529639115e-18	7.1328998684777e-27
CL:0000001	primary cell culture cell	1	1
CL:0000003	native cell	2.82067301926383e-18	5.60779187352225e-26
CL:0000004	cell by organism	8.37943274370987e-25	9.55313085173197e-44
CL:0000006	neuronal receptor cell (sensu Animalia)	1	1
CL:0000010	obsolete_cell line cell	1	1
CL:0000012	cell by class	3.41360966579199e-25	9.55313085173197e-44
CL:0000034	stem cell	0.000965821048243019	1.28514430347325e-06
CL:0000035	single fate stem cell	0.0746268656716418	0.0545454545454546
CL:0000037	hematopoietic stem cell	0.25	0.175308641975309
CL:0000039	germ line cell	0.000701344243132671	0.000237169550817812
CL:0000047	neuronal stem cell	0.00684289463817023	0.0118100624002816
CL:0000048	multipotent stem cell	4.84596607980884e-05	1.54698404530473e-07
CL:0000049	common myeloid progenitor	1	1
CL:0000054	bone matrix secreting cell	0.10696871007791	0.205882352941176
CL:0000055	non-terminally differentiated cell	0.000123661990754892	3.42222993089453e-16
CL:0000056	myoblast	0.125	0.0210287396485615
CL:0000057	fibroblast	4.23392585155817e-05	2.0233138476396e-12
CL:0000062	osteoblast	0.0270326688237136	0.0106951871657754
CL:0000063	cell by histology	1.8540969546606e-14	6.23442025853381e-28
CL:0000064	ciliated cell	0.181818181818182	0.000445473984319316
CL:0000066	epithelial cell	1.49689146037164e-11	7.79189258256131e-49
CL:0000067	ciliated epithelial cell	0.181818181818182	0.000445473984319316
CL:0000068	duct epithelial cell	1	1
CL:0000069	branched duct epithelial cell	1	1
CL:0000071	blood vessel endothelial cell	2.13588956478546e-12	1.3880708810184e-09
CL:0000075	columnar/cuboidal epithelial cell	4.02468290032449e-11	3.21509315408146e-07
CL:0000076	squamous epithelial cell	2.13588956478546e-12	2.04546310159495e-09
CL:0000077	mesothelial cell	0.00719256265674294	0.00142464704884712
CL:0000079	stratified epithelial cell	0.00273800157356412	0.0157894736842105
CL:0000080	circulating cell	0.00267308206361935	2.65705527004369e-05
CL:0000081	blood cell	1.5275843262778e-07	1.15570347800863e-08
CL:0000082	epithelial cell of lung	0.007103490508267	0.000231104635349665
CL:0000083	exocrine pancreas cell	0.00306928081023866	0.119047619047619
CL:0000084	T cell	3.21133816138754e-06	1.91515908959015e-20
CL:0000091	Kupffer cell	0.0743801652892561	0.37037037037037
CL:0000092	osteoclast	0.10696871007791	0.205882352941176
CL:0000094	granulocyte	1.12579780886042e-09	8.02697946559483e-11
CL:0000095	neuron associated cell	0.00799992855193088	0.00303030303030303
CL:0000097	mast cell	0.0021978021978022	1.51411916117799e-05
CL:0000098	sensory epithelial cell	0.000519480519480519	0.00308623754925459
CL:0000107	autonomic neuron	1	1
CL:0000115	endothelial cell	1.40396606142821e-15	2.1732878023498e-16
CL:0000117	CNS neuron (sensu Vertebrata)	1	1
CL:0000120	granule cell	1	1
CL:0000123	neuron associated cell (sensu Vertebrata)	0.120762711864407	0.00165406427221172
CL:0000125	glial cell	0.0097716180025075	0.00303030303030303
CL:0000126	macroglial cell	0.0151918869901336	0.0239789196310935
CL:0000127	astrocyte	0.0151918869901336	0.0239789196310935
CL:0000128	oligodendrocyte	0.0151918869901336	0.0239789196310935
CL:0000129	microglial cell	1	1
CL:0000134	mesenchymal cell	2.84178164523789e-05	1.54698404530473e-07
